SID,WORD,POS,Vowel_Type,Stressed_Vowel
183,disabled,adj.,Diphthong,/ eɪ /
184,disagreement,n.,Monophthong,/ i /
185,disappoint,v.,Diphthong,/ ɔɪ /
186,disappointment,n.,Diphthong,/ ɔɪ /
187,discourage,v.,Monophthong,/ ɝ /
188,disorder,n.,Monophthong,/ ɔ /
189,distant,adj.,Monophthong,/ ɪ /
190,distinct,adj.,Monophthong,/ ɪ /
191,distinguish,v.,Monophthong,/ ɪ /
192,distract,v.,Monophthong,/ æ /
193,disturb,v.,Monophthong,/ ɝ /
194,dive,v.,Diphthong,/ aɪ /
195,diverse,adj.,Monophthong,/ ɝ /
196,diversity,n.,Monophthong,/ ɝ /
197,divorce,v.,Monophthong,/ ɔ /
198,dominant,adj.,Monophthong,/ ɑ /
199,donation,n.,Diphthong,/ eɪ /
200,dot,n.,Monophthong,/ ɑ /
201,downtown,n.,Diphthong,/ aʊ /
202,dramatically,adv.,Monophthong,/ æ /
203,drought,n.,Diphthong,/ aʊ /
204,dull,adj.,Monophthong,/ ʌ /
205,dump,v.,Monophthong,/ ʌ /
206,duration,n.,Diphthong,/ eɪ /
207,dynamic,adj.,Monophthong,/ æ /
208,economics,n.,Monophthong,/ ɑ /
209,economist,n.,Monophthong,/ ɑ /
210,editorial,adj.,Monophthong,/ ɔ /
211,efficiently,adv.,Monophthong,/ ɪ /
212,elbow,n.,Monophthong,/ ɛ /
213,electronics,n.,Monophthong,/ ɑ /
214,elegant,adj.,Monophthong,/ ɛ /
215,elementary,adj.,Monophthong,/ ɛ /
216,eliminate,v.,Monophthong,/ ɪ /
217,embrace,v.,Diphthong,/ eɪ /
218,emission,n.,Monophthong,/ ɪ /
219,emotionally,adv.,Diphthong,/ oʊ /
220,empire,n.,Monophthong,/ ɛ /
221,enjoyable,adj.,Diphthong,/ ɔɪ /
222,entertaining,adj.,Diphthong,/ eɪ /
223,entrepreneur,n.,Monophthong,/ ʊ /
224,envelope,n.,Monophthong,/ ɛ /
225,equip,v.,Monophthong,/ ɪ /
226,equivalent,adj.,Monophthong,/ ɪ /
227,era,n.,Monophthong,/ ɛ /
228,erupt,v.,Monophthong,/ ʌ /
229,essentially,adv.,Monophthong,/ ɛ /
230,ethic,n.,Monophthong,/ ɛ /
231,ethnic,adj.,Monophthong,/ ɛ /
232,evaluation,n.,Diphthong,/ eɪ /
233,evident,adj.,Monophthong,/ ɛ /
234,evolution,n.,Monophthong,/ u /
235,evolve,v.,Monophthong,/ ɑ /
236,exceed,v.,Monophthong,/ i /
237,exception,n.,Monophthong,/ ɛ /
238,excessive,adj.,Monophthong,/ ɛ /
239,exclude,v.,Monophthong,/ u /
240,exhibit,v.,Monophthong,/ ɪ /
241,exit,n.,Monophthong,/ ɛ /
242,exotic,adj.,Monophthong,/ ɑ /
243,expansion,n.,Monophthong,/ æ /
244,expertise,n.,Monophthong,/ i /
245,exploit,v.,Monophthong,/ ɔ /
246,exposure,n.,Diphthong,/ oʊ /
247,extension,n.,Monophthong,/ ɛ /
248,extensive,adj.,Monophthong,/ ɛ /
249,extensively,adv.,Monophthong,/ ɛ /
250,extract,n.,Monophthong,/ ɛ /
251,fabric,n.,Monophthong,/ æ /
252,fabulous,adj.,Monophthong,/ æ /
253,failed,adj.,Diphthong,/ eɪ /
254,fake,adj.,Diphthong,/ eɪ /
255,fame,n.,Diphthong,/ eɪ /
256,fantasy,n.,Monophthong,/ æ /
257,fare,n.,Monophthong,/ ɛ /
258,federal,adj.,Monophthong,/ ɛ /
259,fever,n.,Monophthong,/ i /
260,firefighter,n.,Diphthong,/ aɪ /
261,firework,n.,Diphthong,/ aɪ /
262,firm,adj.,Monophthong,/ ɝ /
263,firmly,adv.,Monophthong,/ ɝ /
264,flavour,n.,Diphthong,/ eɪ /
265,fond,adj.,Monophthong,/ ɑ /
266,fool,n.,Monophthong,/ u /
267,forbid,v.,Monophthong,/ ɪ /
268,forecast,v.,Monophthong,/ ɔ /
269,format,n.,Monophthong,/ ɔ /
270,formation,n.,Diphthong,/ eɪ /
271,formerly,adv.,Monophthong,/ ɔ /
272,fortunate,adj.,Monophthong,/ ɔ /
273,forum,n.,Monophthong,/ ɔ /
274,fossil,n.,Monophthong,/ ɑ /
275,foundation,n.,Diphthong,/ eɪ /
276,founder,n.,Diphthong,/ aʊ /
277,fraction,n.,Monophthong,/ æ /
278,fragment,n.,Monophthong,/ æ /
279,framework,n.,Diphthong,/ eɪ /
280,fraud,n.,Monophthong,/ ɔ /
281,freely,adv.,Monophthong,/ i /
282,frequent,adj.,Monophthong,/ i /
283,fulfil,v.,Monophthong,/ ɪ /
284,full-time,adj.,Diphthong,/ aɪ /
285,fundamentally,adv.,Monophthong,/ ɛ /
286,furious,adj.,Monophthong,/ ʊ /
287,gaming,n.,Diphthong,/ eɪ /
288,gay,adj.,Diphthong,/ eɪ /
289,gender,n.,Monophthong,/ ɛ /
290,gene,n.,Monophthong,/ i /
291,genetic,adj.,Monophthong,/ ɛ /
292,genius,n.,Monophthong,/ i /
293,genuine,adj.,Monophthong,/ ɛ /
294,genuinely,adv.,Monophthong,/ ɛ /
295,gesture,n.,Monophthong,/ ɛ /
296,gig,n.,Monophthong,/ ɪ /
297,globalization,n.,Diphthong,/ eɪ /
298,globe,n.,Diphthong,/ oʊ /
299,golden,adj.,Diphthong,/ oʊ /
300,goodness,n.,Monophthong,/ ʊ /
301,gorgeous,adj.,Monophthong,/ ɔ /
302,governor,n.,Monophthong,/ ʌ /
303,graphic,adj.,Monophthong,/ æ /
304,graphics,n.,Monophthong,/ æ /
305,greatly,adv.,Diphthong,/ eɪ /
306,greenhouse,n.,Monophthong,/ i /
307,grocery,n.,Diphthong,/ oʊ /
308,guideline,n.,Diphthong,/ aɪ /
309,habitat,n.,Monophthong,/ æ /
310,harbor,n.,Monophthong,/ ɑ /
311,headquarters,n.,Monophthong,/ ɛ /
312,heal,v.,Monophthong,/ i /
313,healthcare,n.,Monophthong,/ ɛ /
314,helmet,n.,Monophthong,/ ɛ /
315,hence,adv.,Monophthong,/ ɛ /
316,herb,n.,Monophthong,/ ɝ /
317,hidden,adj.,Monophthong,/ ɪ /
318,highway,n.,Diphthong,/ aɪ /
319,hilarious,adj.,Monophthong,/ ɛ /
320,hip,n.,Monophthong,/ ɪ /
321,historian,n.,Monophthong,/ ɔ /
322,homeless,adj.,Diphthong,/ oʊ /
323,honesty,n.,Monophthong,/ ɑ /
324,hook,n.,Monophthong,/ ʊ /
325,hopefully,adv.,Diphthong,/ oʊ /
326,hunger,n.,Monophthong,/ ʌ /
327,hypothesis,n.,Monophthong,/ ɑ /
328,icon,n.,Diphthong,/ aɪ /
329,identical,adj.,Monophthong,/ ɛ /
330,illusion,n.,Monophthong,/ u /
331,immigration,n.,Diphthong,/ eɪ /
332,immune,adj.,Monophthong,/ u /
333,implement,v.,Monophthong,/ ɪ /
334,implication,n.,Diphthong,/ eɪ /
335,incentive,n.,Monophthong,/ ɛ /
336,incorporate,v.,Monophthong,/ ɔ /
337,incorrect,adj.,Monophthong,/ ɛ /
338,independence,n.,Monophthong,/ ɛ /
339,index,n.,Monophthong,/ ɪ /
340,indication,n.,Diphthong,/ eɪ /
341,inevitable,adj.,Monophthong,/ ɛ /
342,inevitably,adv.,Monophthong,/ ɛ /
343,infer,v.,Monophthong,/ ɝ /
344,inflation,n.,Diphthong,/ eɪ /
345,info,n.,Monophthong,/ ɪ /
346,infrastructure,n.,Monophthong,/ ɪ /
347,inhabitant,n.,Monophthong,/ æ /
348,inherit,v.,Monophthong,/ ɛ /
349,ink,n.,Monophthong,/ ɪ /
350,innovation,n.,Diphthong,/ eɪ /
351,innovative,adj.,Monophthong,/ ɪ /
352,input,n.,Monophthong,/ ɪ /
353,insert,v.,Monophthong,/ ɝ /
354,inspector,n.,Monophthong,/ ɛ /
355,installation,n.,Diphthong,/ eɪ /
356,instant,adj.,Monophthong,/ ɪ /
357,instantly,adv.,Monophthong,/ ɪ /
358,integrate,v.,Monophthong,/ ɪ /
359,intellectual,adj.,Monophthong,/ ɛ /
360,interact,v.,Monophthong,/ æ /
361,interaction,n.,Monophthong,/ æ /
362,interpretation,n.,Diphthong,/ eɪ /
363,interval,n.,Monophthong,/ ɪ /
364,invade,v.,Diphthong,/ eɪ /
365,invasion,n.,Diphthong,/ eɪ /
366,investor,n.,Monophthong,/ ɛ /
367,isolate,v.,Diphthong,/ aɪ /
368,isolated,adj.,Diphthong,/ aɪ /
369,jail,n.,Diphthong,/ eɪ /
370,jet,n.,Monophthong,/ ɛ /
371,joint,adj.,Diphthong,/ ɔɪ /
372,joint,n.,Diphthong,/ ɔɪ /
373,journalism,n.,Monophthong,/ ɝ /
374,jury,n.,Monophthong,/ ʊ /
375,kit,n.,Monophthong,/ ɪ /
376,ladder,n.,Monophthong,/ æ /
377,landing,n.,Monophthong,/ æ /
378,lane,n.,Diphthong,/ eɪ /
379,lately,adv.,Diphthong,/ eɪ /
380,leaflet,n.,Monophthong,/ i /
381,legend,n.,Monophthong,/ ɛ /
382,lens,n.,Monophthong,/ ɛ /
383,lifetime,n.,Diphthong,/ aɪ /
384,lighting,n.,Diphthong,/ aɪ /
385,likewise,adv.,Diphthong,/ aɪ /
386,limitation,n.,Diphthong,/ eɪ /
387,literally,adv.,Monophthong,/ ɪ /
388,literary,adj.,Monophthong,/ ɪ /
389,litre,n.,Monophthong,/ i /
390,litter,n.,Monophthong,/ ɪ /
391,logo,n.,Diphthong,/ oʊ /
392,lottery,n.,Monophthong,/ ɑ /
393,loyal,adj.,Diphthong,/ ɔɪ /
394,lyric,n.,Monophthong,/ ɪ /
395,magnificent,adj.,Monophthong,/ ɪ /
396,make-up,n.,Diphthong,/ eɪ /
397,making,n.,Diphthong,/ eɪ /
398,manufacture,v.,Monophthong,/ æ /
399,manufacturing,n.,Monophthong,/ æ /
400,marathon,n.,Monophthong,/ æ /
401,margin,n.,Monophthong,/ ɑ /
402,marker,n.,Monophthong,/ ɑ /
403,martial,adj.,Monophthong,/ ɑ /
404,mate,n.,Diphthong,/ eɪ /
405,mate,v.,Diphthong,/ eɪ /
406,mayor,n.,Diphthong,/ eɪ /
407,mechanic,n.,Monophthong,/ æ /
408,mechanical,adj.,Monophthong,/ æ /
409,mechanism,n.,Monophthong,/ ɛ /
410,medal,n.,Monophthong,/ ɛ /
411,medication,n.,Diphthong,/ eɪ /
412,membership,n.,Monophthong,/ ɛ /
413,memorable,adj.,Monophthong,/ ɛ /
414,metaphor,n.,Monophthong,/ ɛ /
415,miner,n.,Diphthong,/ aɪ /
416,miserable,adj.,Monophthong,/ ɪ /
417,mode,n.,Diphthong,/ oʊ /
418,modest,adj.,Monophthong,/ ɑ /
419,monster,n.,Monophthong,/ ɑ /
420,monthly,adj.,Monophthong,/ ʌ /
421,monument,n.,Monophthong,/ ɑ /
422,moreover,adv.,Diphthong,/ oʊ /
423,mortgage,n.,Monophthong,/ ɔ /
424,mosque,n.,Monophthong,/ ɑ /
425,motion,n.,Diphthong,/ oʊ /
426,motivate,v.,Diphthong,/ oʊ /
427,motivation,n.,Diphthong,/ oʊ /
428,moving,adj.,Monophthong,/ u /
429,myth,n.,Monophthong,/ ɪ /
430,naked,adj.,Diphthong,/ eɪ /
431,nasty,adj.,Monophthong,/ æ /
432,navigation,n.,Diphthong,/ eɪ /
433,nearby,adj.,Monophthong,/ ɪ /
434,nearby,adv.,Monophthong,/ ɪ /
435,necessity,n.,Monophthong,/ ɛ /
436,negotiate,v.,Diphthong,/ oʊ /
437,negotiation,n.,Diphthong,/ eɪ /
438,neutral,adj.,Monophthong,/ u /
439,newly,adv.,Monophthong,/ u /
440,norm,n.,Monophthong,/ ɔ /
441,notebook,n.,Diphthong,/ oʊ /
442,novelist,n.,Monophthong,/ ɑ /
443,nowadays,adv.,Diphthong,/ aʊ /
444,nursing,adj.,Monophthong,/ ɝ /
445,nutrition,n.,Monophthong,/ ɪ /
446,obesity,n.,Diphthong,/ oʊ /
447,observer,n.,Monophthong,/ ɝ /
448,obstacle,n.,Monophthong,/ ɑ /
449,occupation,n.,Diphthong,/ eɪ /
450,occupy,v.,Monophthong,/ ɑ /
451,offender,n.,Monophthong,/ ɛ /
452,ongoing,adj.,Monophthong,/ ɑ /
453,openly,adv.,Diphthong,/ oʊ /
454,opera,n.,Monophthong,/ ɑ /
455,operator,n.,Monophthong,/ ɑ /
456,optimistic,adj.,Monophthong,/ ɪ /
457,orchestra,n.,Monophthong,/ ɔ /
458,organic,adj.,Monophthong,/ æ /
459,outfit,n.,Diphthong,/ aʊ /
460,output,n.,Diphthong,/ aʊ /
461,outstanding,adj.,Diphthong,/ aʊ /
462,overcome,v.,Monophthong,/ ʌ /
463,overnight,adv.,Diphthong,/ aɪ /
464,overseas,adv.,Monophthong,/ i /
465,overseas,adj.,Monophthong,/ i /
466,ownership,n.,Diphthong,/ oʊ /
467,oxygen,n.,Monophthong,/ ɑ /
468,packet,n.,Monophthong,/ æ /
469,palm,n.,Monophthong,/ ɑ /
470,panic,n.,Monophthong,/ æ /
471,parade,n.,Diphthong,/ eɪ /
472,parallel,adj.,Monophthong,/ æ /
473,parallel,n.,Monophthong,/ æ /
474,participation,n.,Diphthong,/ eɪ /
475,partnership,n.,Monophthong,/ ɑ /
476,part-time,adj.,Diphthong,/ aɪ /
477,part-time,adv.,Diphthong,/ aɪ /
478,passionate,adj.,Monophthong,/ æ /
479,password,n.,Monophthong,/ æ /
480,patience,n.,Diphthong,/ eɪ /
481,pause,v.,Monophthong,/ ɔ /
482,pause,n.,Monophthong,/ ɔ /
483,peer,n.,Monophthong,/ ɪ /
484,penalty,n.,Monophthong,/ ɛ /
485,perceive,v.,Monophthong,/ i /
486,perception,n.,Monophthong,/ ɛ /
487,permanently,adv.,Monophthong,/ ɝ /
488,pill,n.,Monophthong,/ ɪ /
489,pity,n.,Monophthong,/ ɪ /
490,placement,n.,Diphthong,/ eɪ /
491,portion,n.,Monophthong,/ ɔ /
492,potentially,adv.,Monophthong,/ ɛ /
493,precede,v.,Monophthong,/ i /
494,precious,adj.,Monophthong,/ ɛ /
495,precise,adj.,Diphthong,/ aɪ /
496,precisely,adv.,Diphthong,/ aɪ /
497,predictable,adj.,Monophthong,/ ɪ /
498,preference,n.,Monophthong,/ ɛ /
499,pride,n.,Diphthong,/ aɪ /
500,primarily,adv.,Monophthong,/ ɛ /
501,principal,adj.,Monophthong,/ ɪ /
502,prior,adj.,Diphthong,/ aɪ /
503,probability,n.,Monophthong,/ ɪ /
504,probable,adj.,Monophthong,/ ɑ /
505,proceed,v.,Monophthong,/ i /
506,programming,n.,Diphthong,/ oʊ /
507,progressive,adj.,Monophthong,/ ɛ /
508,prohibit,v.,Monophthong,/ ɪ /
509,promising,adj.,Monophthong,/ ɑ /
510,promotion,n.,Diphthong,/ oʊ /
511,prompt,v.,Monophthong,/ ɑ /
512,proportion,n.,Monophthong,/ ɔ /
513,protein,n.,Diphthong,/ oʊ /
514,protester,n.,Diphthong,/ oʊ /
515,psychological,adj.,Diphthong,/ aɪ /
516,publicity,n.,Monophthong,/ ɪ /
517,publishing,n.,Monophthong,/ ʌ /
518,punk,n.,Monophthong,/ ʌ /
519,purely,adv.,Monophthong,/ ʊ /
520,pursuit,n.,Monophthong,/ u /
521,puzzle,n.,Monophthong,/ ʌ /
522,questionnaire,n.,Monophthong,/ ɛ /
523,racial,adj.,Diphthong,/ eɪ /
524,racism,n.,Diphthong,/ eɪ /
525,racist,n.,Diphthong,/ eɪ /
526,radiation,n.,Diphthong,/ eɪ /
527,rail,n.,Diphthong,/ eɪ /
528,random,adj.,Monophthong,/ æ /
529,rat,n.,Monophthong,/ æ /
530,rating,n.,Diphthong,/ eɪ /
531,reasonably,adv.,Monophthong,/ i /
532,rebuild,v.,Monophthong,/ ɪ /
533,receiver,n.,Monophthong,/ i /
534,recession,n.,Monophthong,/ ɛ /
535,reckon,v.,Monophthong,/ ɛ /
536,recognition,n.,Monophthong,/ ɪ /
537,recovery,n.,Monophthong,/ ʌ /
538,recruit,v.,Monophthong,/ u /
539,recruit,n.,Monophthong,/ u /
540,recruitment,n.,Monophthong,/ u /
541,referee,n.,Monophthong,/ i /
542,refugee,n.,Monophthong,/ i /
543,registration,n.,Diphthong,/ eɪ /
544,regulate,v.,Monophthong,/ ɛ /
545,reinforce,v.,Monophthong,/ ɔ /
546,relieve,v.,Monophthong,/ i /
547,relieved,adj.,Monophthong,/ i /
548,remarkable,adj.,Monophthong,/ ɑ /
549,remarkably,adv.,Monophthong,/ ɑ /
550,reporting,n.,Monophthong,/ ɔ /
551,resign,v.,Diphthong,/ aɪ /
552,resolution,n.,Monophthong,/ u /
553,restore,v.,Monophthong,/ ɔ /
554,restrict,v.,Monophthong,/ ɪ /
555,restriction,n.,Monophthong,/ ɪ /
556,retail,n.,Monophthong,/ i /
557,retirement,n.,Diphthong,/ aɪ /
558,revenue,n.,Monophthong,/ ɛ /
559,revision,n.,Monophthong,/ ɪ /
560,ridiculous,adj.,Monophthong,/ ɪ /
561,risky,adj.,Monophthong,/ ɪ /
562,rival,n.,Diphthong,/ aɪ /
563,rival,adj.,Diphthong,/ aɪ /
564,rob,v.,Monophthong,/ ɑ /
565,robbery,n.,Monophthong,/ ɑ /
566,rocket,n.,Monophthong,/ ɑ /
567,romance,n.,Diphthong,/ oʊ /
568,rose,n.,Diphthong,/ oʊ /
569,roughly,adv.,Monophthong,/ ʌ /
570,ruin,v.,Monophthong,/ u /
571,ruin,n.,Monophthong,/ u /
572,satisfaction,n.,Monophthong,/ æ /
573,scandal,n.,Monophthong,/ æ /
574,scare,v.,Monophthong,/ ɛ /
575,scare,n.,Monophthong,/ ɛ /
576,scenario,n.,Monophthong,/ ɛ /
577,scholar,n.,Monophthong,/ ɑ /
578,scholarship,n.,Monophthong,/ ɑ /
579,scratch,v.,Monophthong,/ æ /
580,scratch,n.,Monophthong,/ æ /
581,screening,n.,Monophthong,/ i /
582,seeker,n.,Monophthong,/ i /
583,seminar,n.,Monophthong,/ ɛ /
584,settler,n.,Monophthong,/ ɛ /
585,severely,adv.,Monophthong,/ ɪ /
586,sexy,adj.,Monophthong,/ ɛ /
587,shaped,adj.,Diphthong,/ eɪ /
588,shocking,adj.,Monophthong,/ ɑ /
589,shore,n.,Monophthong,/ ɔ /
590,shortage,n.,Monophthong,/ ɔ /
591,shortly,adv.,Monophthong,/ ɔ /
592,short-term,adj.,Monophthong,/ ɝ /
593,sibling,n.,Monophthong,/ ɪ /
594,signature,n.,Monophthong,/ ɪ /
595,significance,n.,Monophthong,/ ɪ /
596,skilled,adj.,Monophthong,/ ɪ /
597,skull,n.,Monophthong,/ ʌ /
598,slogan,n.,Diphthong,/ oʊ /
599,so-called,adj.,Monophthong,/ ɔ /
600,somehow,adv.,Monophthong,/ ʌ /
601,sometime,adv.,Monophthong,/ ʌ /
602,sophisticated,adj.,Monophthong,/ ɪ /
603,spare,adj.,Monophthong,/ ɛ /
604,specialize,v.,Monophthong,/ ɛ /
605,specify,v.,Monophthong,/ ɛ /
606,spectacular,adj.,Monophthong,/ æ /
607,spectator,n.,Monophthong,/ ɛ /
608,speculate,v.,Monophthong,/ ɛ /
609,speculation,n.,Diphthong,/ eɪ /
610,spice,n.,Diphthong,/ aɪ /
611,spill,v.,Monophthong,/ ɪ /
612,spite,n.,Diphthong,/ aɪ /
613,spoil,v.,Diphthong,/ ɔɪ /
614,spokesman,n.,Diphthong,/ oʊ /
615,spokesperson,n.,Diphthong,/ oʊ /
616,spokeswoman,n.,Diphthong,/ oʊ /
617,sponsorship,n.,Monophthong,/ ɑ /
