SID,Level,WORD,POS,WORD,Vowel_Type,Stressed_Vowel
126,C,beast,n.,beast,Monophthong,/ i /
127,C,behalf,n.,behalf,Monophthong,/ æ /
128,C,beloved,adj.,beloved,Monophthong,/ ʌ /
129,C,bench,n.,bench,Monophthong,/ ɛ /
130,C,benchmark,n.,benchmark,Monophthong,/ ɛ /
131,C,beneath,prep.,beneath,Monophthong,/ i /
132,C,beneficiary,n.,beneficiary,Monophthong,/ ɪ /
133,C,betray,v.,betray,Diphthong,/ eɪ /
134,C,bind,v.,bind,Diphthong,/ aɪ /
135,C,biography,n.,biography,Monophthong,/ ɑ /
136,C,bishop,n.,bishop,Monophthong,/ ɪ /
137,C,bizarre,adj.,bizarre,Monophthong,/ ɑ /
138,C,blade,n.,blade,Diphthong,/ eɪ /
139,C,blast,n.,blast,Monophthong,/ æ /
140,C,blast,v.,blast,Monophthong,/ æ /
141,C,bleed,v.,bleed,Monophthong,/ i /
142,C,blend,v.,blend,Monophthong,/ ɛ /
143,C,blend,n.,blend,Monophthong,/ ɛ /
144,C,bless,v.,bless,Monophthong,/ ɛ /
145,C,blessing,n.,blessing,Monophthong,/ ɛ /
146,C,boast,v.,boast,Diphthong,/ oʊ /
147,C,bonus,n.,bonus,Diphthong,/ oʊ /
148,C,boom,n.,boom,Monophthong,/ u /
149,C,bounce,v.,bounce,Diphthong,/ aʊ /
150,C,boundary,n.,boundary,Diphthong,/ aʊ /
151,C,bow1,v.,bow1,Diphthong,/ aʊ /
152,C,bow1,n.,bow1,Diphthong,/ aʊ /
153,C,breach,n.,breach,Monophthong,/ i /
154,C,breach,v.,breach,Monophthong,/ i /
155,C,breakdown,n.,breakdown,Diphthong,/ aʊ /
156,C,breakthrough,n.,breakthrough,Diphthong,/ eɪ /
157,C,breed,v.,breed,Monophthong,/ i /
158,C,breed,n.,breed,Monophthong,/ i /
159,C,broadband,n.,broadband,Monophthong,/ ɔ /
160,C,browser,n.,browser,Diphthong,/ aʊ /
161,C,brutal,adj.,brutal,Monophthong,/ u /
162,C,buck,n.,buck,Monophthong,/ ʌ /
163,C,buddy,n.,buddy,Monophthong,/ ʌ /
164,C,buffer,n.,buffer,Monophthong,/ ʌ /
165,C,bulk,n.,bulk,Monophthong,/ ʌ /
166,C,burden,n.,burden,Monophthong,/ ɝ /
167,C,bureaucracy,n.,bureaucracy,Monophthong,/ ɑ /
168,C,burial,n.,burial,Monophthong,/ ɛ /
169,C,burst,v.,burst,Monophthong,/ ɝ /
170,C,cabinet,n.,cabinet,Monophthong,/ æ /
171,C,calculation,n.,calculation,Diphthong,/ eɪ /
172,C,canvas,n.,canvas,Monophthong,/ æ /
173,C,capability,n.,capability,Monophthong,/ ɪ /
174,C,capitalism,n.,capitalism,Monophthong,/ æ /
175,C,capitalist,adj.,capitalist,Monophthong,/ æ /
176,C,cargo,n.,cargo,Monophthong,/ ɑ /
177,C,carriage,n.,carriage,Monophthong,/ æ /
178,C,carve,v.,carve,Monophthong,/ ɑ /
179,C,casino,n.,casino,Monophthong,/ i /
180,C,casualty,n.,casualty,Monophthong,/ æ /
181,C,catalogue,n.,catalogue,Monophthong,/ æ /
182,C,cater,v.,cater,Diphthong,/ eɪ /
183,C,cattle,n.,cattle,Monophthong,/ æ /
184,C,caution,n.,caution,Monophthong,/ ɔ /
185,C,cautious,adj.,cautious,Monophthong,/ ɔ /
186,C,cease,v.,cease,Monophthong,/ i /
187,C,cemetery,n.,cemetery,Monophthong,/ ɛ /
188,C,chamber,n.,chamber,Diphthong,/ eɪ /
189,C,chaos,n.,chaos,Diphthong,/ eɪ /
190,C,characterize,v.,characterize,Monophthong,/ æ /
191,C,charm,n.,charm,Monophthong,/ ɑ /
192,C,charter,n.,charter,Monophthong,/ ɑ /
193,C,chronic,adj.,chronic,Monophthong,/ ɑ /
194,C,chunk,n.,chunk,Monophthong,/ ʌ /
195,C,circulate,v.,circulate,Monophthong,/ ɝ /
196,C,circulation,n.,circulation,Diphthong,/ eɪ /
197,C,citizenship,n.,citizenship,Monophthong,/ ɪ /
198,C,civic,adj.,civic,Monophthong,/ ɪ /
199,C,civilian,n.,civilian,Monophthong,/ ɪ /
200,C,clarity,n.,clarity,Monophthong,/ æ /
201,C,clash,n.,clash,Monophthong,/ æ /
202,C,classification,n.,classification,Diphthong,/ eɪ /
203,C,cling,v.,cling,Monophthong,/ ɪ /
204,C,clinical,adj.,clinical,Monophthong,/ ɪ /
205,C,closure,n.,closure,Diphthong,/ oʊ /
206,C,cluster,n.,cluster,Monophthong,/ ʌ /
207,C,coalition,n.,coalition,Monophthong,/ ɪ /
208,C,coastal,adj.,coastal,Diphthong,/ oʊ /
209,C,cocktail,n.,cocktail,Monophthong,/ ɑ /
210,C,cognitive,adj.,cognitive,Monophthong,/ ɑ /
211,C,coincide,v.,coincide,Monophthong,/ ɔ /
212,C,collaborate,v.,collaborate,Diphthong,/ æ /
213,C,collaboration,n.,collaboration,Diphthong,/ eɪ /
214,C,collective,adj.,collective,Monophthong,/ ɛ /
215,C,collision,n.,collision,Monophthong,/ ɪ /
216,C,colonial,adj.,colonial,Diphthong,/ oʊ /
217,C,columnist,n.,columnist,Monophthong,/ ɑ /
218,C,combat,n.,combat,Monophthong,/ ɑ /
219,C,combat,v.,combat,Monophthong,/ ɑ /
220,C,commence,v.,commence,Monophthong,/ ɛ /
221,C,commentary,n.,commentary,Monophthong,/ ɑ /
222,C,commentator,n.,commentator,Monophthong,/ ɑ /
223,C,commerce,n.,commerce,Monophthong,/ ɑ /
224,C,commissioner,n.,commissioner,Monophthong,/ ɪ /
225,C,commodity,n.,commodity,Monophthong,/ ɑ /
226,C,communist,adj.,communist,Monophthong,/ ɑ /
227,C,companion,n.,companion,Monophthong,/ æ /
228,C,comparable,adj.,comparable,Monophthong,/ ɑ /
229,C,compassion,n.,compassion,Monophthong,/ æ /
230,C,compel,v.,compel,Monophthong,/ ɛ /
231,C,compelling,adj.,compelling,Monophthong,/ ɛ /
232,C,compensate,v.,compensate,Monophthong,/ ɑ /
233,C,compensation,n.,compensation,Diphthong,/ eɪ /
234,C,competence,n.,competence,Monophthong,/ ɑ /
235,C,competent,adj.,competent,Monophthong,/ ɑ /
236,C,compile,v.,compile,Diphthong,/ aɪ /
237,C,complement,v.,complement,Monophthong,/ ɑ /
238,C,complexity,n.,complexity,Monophthong,/ ɛ /
239,C,compliance,n.,compliance,Diphthong,/ aɪ /
240,C,complication,n.,complication,Diphthong,/ eɪ /
241,C,comply,v.,comply,Diphthong,/ aɪ /
242,C,composition,n.,composition,Monophthong,/ ɪ /
243,C,compromise,n.,compromise,Monophthong,/ ɑ /
244,C,compromise,v.,compromise,Monophthong,/ ɑ /
245,C,compute,v.,compute,Monophthong,/ u /
246,C,conceal,v.,conceal,Monophthong,/ i /
247,C,concede,v.,concede,Monophthong,/ i /
248,C,conceive,v.,conceive,Monophthong,/ i /
249,C,conception,n.,conception,Monophthong,/ ɛ /
250,C,concession,n.,concession,Monophthong,/ ɛ /
251,C,condemn,v.,condemn,Monophthong,/ ɛ /
252,C,confer,v.,confer,Monophthong,/ ɝ /
253,C,confession,n.,confession,Monophthong,/ ɛ /
254,C,configuration,n.,configuration,Diphthong,/ eɪ /
255,C,confine,v.,confine,Diphthong,/ aɪ /
256,C,confirmation,n.,confirmation,Diphthong,/ eɪ /
257,C,confront,v.,confront,Monophthong,/ ʌ /
258,C,confrontation,n.,confrontation,Diphthong,/ eɪ /
259,C,congratulate,v.,congratulate,Monophthong,/ æ /
260,C,congregation,n.,congregation,Diphthong,/ eɪ /
261,C,congressional,adj.,congressional,Monophthong,/ ɛ /
262,C,conquer,v.,conquer,Monophthong,/ ɑ /
263,C,conscience,n.,conscience,Monophthong,/ ɑ /
264,C,consciousness,n.,consciousness,Monophthong,/ ɑ /
265,C,consecutive,adj.,consecutive,Monophthong,/ ɛ /
266,C,consensus,n.,consensus,Monophthong,/ ɛ /
267,C,consent,n.,consent,Monophthong,/ ɛ /
268,C,consent,v.,consent,Monophthong,/ ɛ /
269,C,conserve,v.,conserve,Monophthong,/ ɛ /
270,C,consistency,n.,consistency,Monophthong,/ ɪ /
271,C,consolidate,v.,consolidate,Monophthong,/ ɑ /
272,C,constituency,n.,constituency,Monophthong,/ ɪ /
273,C,constitute,v.,constitute,Monophthong,/ ɑ /
274,C,constitution,n.,constitution,Monophthong,/ u /
275,C,constitutional,adj.,constitutional,Monophthong,/ u /
276,C,constraint,n.,constraint,Diphthong,/ eɪ /
277,C,consultation,n.,consultation,Diphthong,/ eɪ /
278,C,contemplate,v.,contemplate,Monophthong,/ ɑ /
279,C,contempt,n.,contempt,Monophthong,/ ɛ /
280,C,contend,v.,contend,Monophthong,/ ɛ /
281,C,contender,n.,contender,Monophthong,/ ɛ /
282,C,content,adj.,content,Monophthong,/ ɑ /
283,C,contention,n.,contention,Monophthong,/ ɛ /
284,C,continually,adv.,continually,Monophthong,/ ɪ /
285,C,contractor,n.,contractor,Monophthong,/ ɑ /
286,C,contradiction,n.,contradiction,Monophthong,/ ɪ /
287,C,contrary,adj.,contrary,Monophthong,/ ɑ /
288,C,contrary,n.,contrary,Monophthong,/ ɑ /
289,C,contributor,n.,contributor,Monophthong,/ ɪ /
290,C,conversion,n.,conversion,Monophthong,/ ɝ /
291,C,convict,v.,convict,Monophthong,/ i /
292,C,conviction,n.,conviction,Monophthong,/ i /
293,C,cooperate,v.,cooperate,Monophthong,/ ɑ /
294,C,cooperative,adj.,cooperative,Monophthong,/ ɑ /
295,C,coordinate,v.,coordinate,Monophthong,/ ɔ /
296,C,coordination,n.,coordination,Diphthong,/ eɪ /
297,C,coordinator,n.,coordinator,Monophthong,/ ɔ /
298,C,cop,n.,cop,Monophthong,/ ɑ /
299,C,copper,n.,copper,Monophthong,/ ɑ /
300,C,copyright,n.,copyright,Monophthong,/ ɑ /
301,C,correction,n.,correction,Monophthong,/ ɛ /
302,C,correlate,v.,correlate,Monophthong,/ ɔ /
303,C,correlation,n.,correlation,Diphthong,/ eɪ /
304,C,correspond,v.,correspond,Monophthong,/ ɑ /
305,C,correspondence,n.,correspondence,Monophthong,/ ɑ /
306,C,correspondent,n.,correspondent,Monophthong,/ ɑ /
307,C,corresponding,adj.,corresponding,Monophthong,/ ɑ /
308,C,corrupt,adj.,corrupt,Monophthong,/ ʌ /
309,C,corruption,n.,corruption,Monophthong,/ ʌ /
310,C,costly,adj.,costly,Monophthong,/ ɔ /
311,C,councilor,n.,councilor,Diphthong,/ aʊ /
312,C,counseling,n.,counseling,Diphthong,/ aʊ /
313,C,counselor,n.,counselor,Diphthong,/ aʊ /
314,C,counter,(argue against) v.,counter,Diphthong,/ aʊ /
315,C,counterpart,n.,counterpart,Diphthong,/ aʊ /
316,C,countless,adj.,countless,Diphthong,/ aʊ /
317,C,coup,n.,coup,Monophthong,/ u /
318,C,courtesy,n.,courtesy,Monophthong,/ ɝ /
319,C,craft,v.,craft,Monophthong,/ æ /
320,C,crawl,v.,crawl,Monophthong,/ ɔ /
321,C,creator,n.,creator,Diphthong,/ eɪ /
322,C,credibility,n.,credibility,Monophthong,/ i /
323,C,credible,adj.,credible,Monophthong,/ ɛ /
324,C,creep,v.,creep,Monophthong,/ i /
325,C,critique,n.,critique,Monophthong,/ i /
326,C,crown,n.,crown,Diphthong,/ aʊ /
327,C,crude,adj.,crude,Monophthong,/ u /
328,C,crush,v.,crush,Monophthong,/ ʌ /
329,C,crystal,n.,crystal,Monophthong,/ i /
330,C,cult,n.,cult,Monophthong,/ ʌ /
331,C,cultivate,v.,cultivate,Monophthong,/ ʌ /
332,C,curiosity,n.,curiosity,Monophthong,/ ɑ /
333,C,custody,n.,custody,Monophthong,/ ʌ /
334,C,cutting,n.,cutting,Monophthong,/ ʌ /
335,C,cynical,adj.,cynical,Monophthong,/ i /
336,C,dam,n.,dam,Monophthong,/ æ /
337,C,damaging,adj.,damaging,Monophthong,/ æ /
338,C,dawn,n.,dawn,Monophthong,/ ɔ /
339,C,debris,n.,debris,Monophthong,/ i /
340,C,debut,n.,debut,Monophthong,/ u /
341,C,decision-making,n.,decision-making,Monophthong,/ i /
342,C,decisive,adj.,decisive,Diphthong,/ aɪ /
343,C,declaration,n.,declaration,Diphthong,/ eɪ /
344,C,dedicated,adj.,dedicated,Monophthong,/ ɛ /
345,C,dedication,n.,dedication,Diphthong,/ eɪ /
346,C,deed,n.,deed,Monophthong,/ i /
347,C,deem,v.,deem,Monophthong,/ i /
348,C,default,n.,default,Monophthong,/ ɔ /
349,C,defect,n.,defect,Monophthong,/ i /
350,C,defensive,adj.,defensive,Monophthong,/ ɛ /
351,C,deficiency,n.,deficiency,Monophthong,/ ɪ /
352,C,deficit,n.,deficit,Monophthong,/ ɛ /
353,C,defy,v.,defy,Diphthong,/ aɪ /
354,C,delegate,n.,delegate,Monophthong,/ ɛ /
355,C,delegation,n.,delegation,Diphthong,/ eɪ /
356,C,delicate,adj.,delicate,Monophthong,/ ɛ /
357,C,demon,n.,demon,Monophthong,/ i /
358,C,denial,n.,denial,Diphthong,/ aɪ /
359,C,denounce,v.,denounce,Diphthong,/ aʊ /
360,C,dense,adj.,dense,Monophthong,/ ɛ /
361,C,density,n.,density,Monophthong,/ ɛ /
362,C,dependence,n.,dependence,Monophthong,/ ɛ /
363,C,depict,v.,depict,Monophthong,/ ɪ /
364,C,deploy,v.,deploy,Diphthong,/ ɔɪ /
365,C,deployment,n.,deployment,Diphthong,/ ɔɪ /
366,C,deposit,v.,deposit,Monophthong,/ ɑ /
367,C,deprive,v.,deprive,Diphthong,/ aɪ /
368,C,deputy,n.,deputy,Monophthong,/ ɛ /
369,C,descend,v.,descend,Monophthong,/ ɛ /
370,C,descent,n.,descent,Monophthong,/ ɛ /
371,C,designate,v.,designate,Monophthong,/ ɛ /
372,C,desirable,adj.,desirable,Diphthong,/ aɪ /
373,C,desktop,n.,desktop,Monophthong,/ ɛ /
374,C,destructive,adj.,destructive,Monophthong,/ ʌ /
375,C,detain,v.,detain,Diphthong,/ eɪ /
376,C,detection,n.,detection,Monophthong,/ ɛ /
377,C,detention,n.,detention,Monophthong,/ ɛ /
378,C,deteriorate,v.,deteriorate,Monophthong,/ ɪ /
379,C,devastate,v.,devastate,Monophthong,/ ɛ /
380,C,devil,n.,devil,Monophthong,/ ɛ /
381,C,devise,v.,devise,Diphthong,/ aɪ /
382,C,diagnose,v.,diagnose,Diphthong,/ aɪ /
383,C,diagnosis,n.,diagnosis,Diphthong,/ oʊ /
384,C,dictate,v.,dictate,Monophthong,/ ɪ /
385,C,dictator,n.,dictator,Monophthong,/ ɪ /
386,C,differentiate,v.,differentiate,Monophthong,/ ɛ /
387,C,dignity,n.,dignity,Monophthong,/ ɪ /
388,C,dilemma,n.,dilemma,Monophthong,/ ɛ /
389,C,dimension,n.,dimension,Monophthong,/ ɛ /
390,C,diminish,v.,diminish,Monophthong,/ ɪ /
391,C,dip,v.,dip,Monophthong,/ ɪ /
392,C,diplomat,n.,diplomat,Monophthong,/ ɪ /
393,C,diplomatic,n.,diplomatic,Monophthong,/ ɪ /
394,C,directory,n.,directory,Monophthong,/ ɛ /
395,C,disastrous,adj.,disastrous,Monophthong,/ æ /
396,C,discard,v.,discard,Monophthong,/ ɑ /
397,C,discharge,v.,discharge,Monophthong,/ ɑ /
398,C,disclose,v.,disclose,Diphthong,/ oʊ /
399,C,disclosure,n.,disclosure,Diphthong,/ oʊ /
400,C,discourse,n.,discourse,Monophthong,/ ɪ /
401,C,discretion,n.,discretion,Monophthong,/ ɛ /
402,C,discrimination,n.,discrimination,Monophthong,/ ɪ /
403,C,dismissal,n.,dismissal,Monophthong,/ ɪ /
404,C,displace,v.,displace,Diphthong,/ eɪ /
405,C,disposal,n.,disposal,Diphthong,/ oʊ /
406,C,dispose,v.,dispose,Diphthong,/ oʊ /
407,C,dispute,n.,dispute,Monophthong,/ u /
408,C,dispute,v.,dispute,Monophthong,/ ɪ /
409,C,disrupt,v.,disrupt,Monophthong,/ ʌ /
410,C,disruption,n.,disruption,Monophthong,/ ʌ /
411,C,dissolve,v.,dissolve,Monophthong,/ ɑ /
412,C,distinction,n.,distinction,Monophthong,/ ɪ /
413,C,distinctive,adj.,distinctive,Monophthong,/ ɪ /
414,C,distort,v.,distort,Monophthong,/ ɔ /
415,C,distress,n.,distress,Monophthong,/ ɛ /
416,C,distress,v.,distress,Monophthong,/ ɛ /
417,C,disturbing,adj.,disturbing,Monophthong,/ ɝ /
418,C,divert,v.,divert,Monophthong,/ ɝ /
419,C,divine,adj.,divine,Diphthong,/ aɪ /
420,C,doctrine,n.,doctrine,Monophthong,/ ɑ /
421,C,documentation,n.,documentation,Diphthong,/ eɪ /
422,C,domain,n.,domain,Diphthong,/ eɪ /
423,C,dominance,n.,dominance,Monophthong,/ ɑ /
424,C,donor,n.,donor,Diphthong,/ oʊ /
425,C,dose,n.,dose,Diphthong,/ oʊ /
426,C,drain,v.,drain,Diphthong,/ eɪ /
427,C,drift,v.,drift,Monophthong,/ ɪ /
428,C,driving,adj.,driving,Diphthong,/ aɪ /
429,C,drown,v.,drown,Diphthong,/ aʊ /
430,C,dual,adj.,dual,Monophthong,/ u /
431,C,dub,v.,dub,Monophthong,/ ʌ /
432,C,dumb,adj.,dumb,Monophthong,/ ʌ /
433,C,duo,n.,duo,Monophthong,/ u /
434,C,dynamic,n.,dynamic,Monophthong,/ æ /
435,C,eager,adj.,eager,Monophthong,/ i /
436,C,earnings,n.,earnings,Monophthong,/ ɝ /
437,C,ease,n.,ease,Monophthong,/ i /
438,C,ease,v.,ease,Monophthong,/ i /
439,C,echo,v.,echo,Monophthong,/ ɛ /
440,C,echo,n.,echo,Monophthong,/ ɛ /
441,C,ecological,adj.,ecological,Monophthong,/ ɑ /
442,C,educator,n.,educator,Monophthong,/ ɛ /
443,C,effectiveness,n.,effectiveness,Monophthong,/ ɛ /
444,C,efficiency,n.,efficiency,Monophthong,/ ɪ /
445,C,ego,n.,ego,Monophthong,/ i /
446,C,elaborate,adj.,elaborate,Monophthong,/ æ /
447,C,electoral,adj.,electoral,Monophthong,/ ɛ /
448,C,elevate,v.,elevate,Monophthong,/ ɛ /
449,C,eligible,adj.,eligible,Monophthong,/ ɛ /
450,C,elite,n.,elite,Monophthong,/ i /
451,C,embark,v.,embark,Monophthong,/ ɑ /
452,C,embarrassment,n.,embarrassment,Monophthong,/ æ /
453,C,embassy,n.,embassy,Monophthong,/ ɛ /
454,C,embed,v.,embed,Monophthong,/ ɛ /
455,C,embody,v.,embody,Monophthong,/ ɑ /
456,C,emergence,n.,emergence,Monophthong,/ ɛ /
457,C,empirical,adj.,empirical,Monophthong,/ ɛ /
458,C,empower,v.,empower,Diphthong,/ aʊ /
459,C,enact,v.,enact,Monophthong,/ æ /
460,C,encompass,v.,encompass,Monophthong,/ ʌ /
461,C,encouragement,n.,encouragement,Monophthong,/ ɝ /
462,C,encouraging,adj.,encouraging,Monophthong,/ ɝ /
463,C,endeavor,n.,endeavor,Monophthong,/ ɛ /
464,C,endless,adj.,endless,Monophthong,/ ɛ /
465,C,endorse,v.,endorse,Monophthong,/ ɔ /
466,C,endorsement,n.,endorsement,Monophthong,/ ɔ /
467,C,endure,v.,endure,Monophthong,/ ʊ /
468,C,enforce,v.,enforce,Monophthong,/ ɔ /
469,C,enforcement,n.,enforcement,Monophthong,/ ɔ /
470,C,engagement,n.,engagement,Diphthong,/ eɪ /
471,C,engaging,adj.,engaging,Diphthong,/ eɪ /
472,C,enquire,v.,enquire,Diphthong,/ aɪ /
473,C,enrich,v.,enrich,Monophthong,/ ɪ /
474,C,enroll,v.,enroll,Diphthong,/ oʊ /
475,C,ensue,v.,ensue,Monophthong,/ u /
476,C,enterprise,n.,enterprise,Monophthong,/ ɛ /
477,C,enthusiast,n.,enthusiast,Monophthong,/ u /
478,C,entitle,v.,entitle,Diphthong,/ aɪ /
479,C,entity,n.,entity,Monophthong,/ ɛ /
480,C,epidemic,n.,epidemic,Monophthong,/ ɛ /
481,C,equality,n.,equality,Monophthong,/ ɑ /
482,C,equation,n.,equation,Diphthong,/ eɪ /
483,C,erect,v.,erect,Monophthong,/ ɛ /
484,C,escalate,v.,escalate,Monophthong,/ ɛ /
485,C,essence,n.,essence,Monophthong,/ ɛ /
486,C,establishment,n.,establishment,Monophthong,/ æ /
487,C,eternal,adj.,eternal,Monophthong,/ ɝ /
488,C,evacuate,v.,evacuate,Monophthong,/ æ /
489,C,evoke,v.,evoke,Diphthong,/ oʊ /
490,C,evolutionary,adj.,evolutionary,Monophthong,/ u /
491,C,exaggerate,v.,exaggerate,Monophthong,/ æ /
